task_id,config,agent,model,reasoning,snapshot,raw_pass,judge_pass,compile,tests_passed,tests_run,req_satisfied,req_total,duration_s,cost_usd,output_tokens,steps,compile_calls,compile_errors,files_edited
ue_task_0025,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0025_claude-code_20260702_000455,1,1,1,3,3,10,10,857.3,14.643840999999997,53480,96,0,0,1
ue_task_0026,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0026_claude-code_20260702_002049,1,1,1,3,3,8,8,848.6,10.955522999999998,60845,73,4,0,3
ue_task_0027,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0027_claude-code_20260702_004923,0,0,1,1,3,6,8,1585.0,19.270724000000005,122140,82,8,3,5
ue_task_0028,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0028_claude-code_20260702_010615,0,1,1,0,1,8,8,787.7,6.5364429999999984,60347,39,0,2,1
ue_task_0029,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0029_claude-code_20260702_011616,1,1,1,1,1,7,7,422.2,9.247344,26501,40,0,0,1
ue_task_0030,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0030_claude-code_20260702_013338,1,1,1,1,1,8,8,965.8,14.915346000000003,48392,83,3,0,2
ue_task_0031,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0031_claude-code_20260702_014653,1,1,1,1,1,4,4,725.4,19.058546000000003,45558,2,4,0,3
ue_task_0034,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0034_claude-code_20260702_132925,0,0,1,6,9,10,10,1284.1,15.563706,80155,68,3,0,1
ue_task_0035,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0035_claude-code_20260702_140700,0,0,1,6,9,13,14,2016.1,43.34387000000001,140553,1,2,0,1
ue_task_0036,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0036_claude-code_20260702_142818,1,1,1,9,9,11,11,1098.2,19.735978,68478,87,3,0,1
ue_task_0037,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0037_claude-code_20260702_144638,1,0,1,8,8,12,14,957.6,18.147764000000002,59115,81,0,0,1
ue_task_0038,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0038_claude-code_20260702_151159,0,1,1,8,11,12,12,1399.5,20.649654000000005,94185,89,6,0,1
ue_task_0039,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0039_claude-code_20260702_180635,1,1,1,9,9,12,12,1538.8,28.851046999999994,111144,94,2,0,1
ue_task_0042,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0042_claude-code_20260701_233353,1,1,1,11,11,13,13,854.7,28.176516,53165,5,4,1,1
ue_task_0043,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0043_claude-code_20260701_235105,1,1,1,14,14,14,14,843.8,12.291037,63989,55,0,0,1
ue_task_0045,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0045_claude-code_20260702_005540,1,1,1,5,5,10,10,1992.4,25.107062999999997,122604,87,3,0,1
ue_task_0046,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0046_claude-code_20260702_013646,1,0,1,1,1,2,8,2264.4,22.223264999999998,74485,103,15,112,1
ue_task_0047,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0047_claude-code_20260702_020704,1,1,1,2,2,10,10,1583.9,16.577085000000004,68077,90,5,0,1
ue_task_0048,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0048_claude-code_20260702_022748,1,0,1,2,2,2,7,1094.6,12.974213,34757,60,3,0,1
ue_task_0049,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0049_claude-code_20260702_030535,1,1,1,2,2,8,8,2072.9,23.657325,139125,92,6,0,2
ue_task_0050,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0050_claude-code_20260702_085238,1,1,1,2,2,8,8,2932.5,56.311139,214433,21,8,0,2
ue_task_0051,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0051_claude-code_20260701_233459,0,0,1,2,3,8,9,1242.9,16.196614999999998,67590,87,5,2,4
ue_task_0052,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0052_claude-code_20260701_235528,0,1,1,1,2,10,10,1008.4,12.467194999999997,87391,62,0,0,10
ue_task_0053,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0053_claude-code_20260702_002423,0,1,1,1,3,9,9,1552.6,23.222163000000005,113778,101,5,47,5
ue_task_0054,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0054_claude-code_20260702_003909,0,0,1,2,3,7,8,720.7,16.783054999999997,46321,71,2,0,1
ue_task_0055,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0055_claude-code_20260702_010000,0,0,1,1,2,6,7,1109.3,15.964625000000002,82425,76,1,0,1
ue_task_0056,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0056_claude-code_20260702_012604,0,0,1,9,10,9,10,1465.3,16.26964125,53466,72,4,0,1
ue_task_0057,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0057_claude-code_20260702_013930,1,1,1,2,2,8,8,608.0,15.533035,36324,54,0,0,2
ue_task_0058,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0058_claude-code_20260702_015642,1,1,1,1,1,7,7,909.7,17.772691000000005,61123,53,1,0,1
ue_task_0059,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0059_claude-code_20260702_020850,1,1,1,1,1,8,8,626.8,12.427015,42849,46,0,0,2
ue_task_0060,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0060_claude-code_20260702_022738,0,0,1,0,1,7,8,1030.2,12.273890000000002,76082,59,0,0,4
ue_task_0061,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0061_claude-code_20260701_235119,0,0,1,0,1,8,9,1049.4,18.8739,76022,79,2,0,2
ue_task_0062,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0062_claude-code_20260702_000315,0,0,1,0,1,7,8,591.2,6.2417089999999975,48279,46,3,0,2
ue_task_0063,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0063_claude-code_20260702_001539,1,1,1,3,3,13,13,649.4,8.822135999999999,44839,51,2,0,2
ue_task_0064,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0064_claude-code_20260702_002447,0,0,1,2,3,9,10,395.9,3.653805000000001,26548,34,7,0,2
ue_task_0065,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0065_claude-code_20260702_004626,1,1,1,1,1,11,11,1170.8,14.272571,77530,78,8,0,6
ue_task_0067,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0067_claude-code_20260702_011511,1,1,1,1,1,7,7,716.6,17.641440000000006,42367,78,0,0,1
ue_task_0068,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0068_claude-code_20260702_081634,0,0,1,0,1,6,7,592.3,13.692806000000001,42221,45,0,0,1
ue_task_0069,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0069_claude-code_20260702_084935,1,1,1,3,3,11,11,1686.6,52.171549999999996,111696,1,3,1,2
ue_task_0070,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0070_claude-code_20260702_091235,0,0,1,1,2,9,10,1280.8,14.248895,86191,79,0,0,4
ue_task_0071,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0071_claude-code_20260701_235343,0,1,1,1,2,7,7,570.2,6.011793999999999,41754,46,4,0,8
ue_task_0072,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0072_claude-code_20260702_002448,1,1,1,6,6,11,11,1149.0,13.484289,60745,70,2,28,3
ue_task_0074,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0074_claude-code_20260702_012212,1,1,1,3,3,10,10,846.9,10.706192999999999,59837,66,5,7,3
ue_task_0075,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0075_claude-code_20260702_220658,0,1,1,1,2,10,10,1105.6,15.593018,73323,84,1,0,2
ue_task_0077,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0077_claude-code_20260702_091819,0,,0,0,0,,,3561.7,60.495824999999996,184350,104,9,0,9
ue_task_0078,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0078_claude-code_20260702_094810,0,,0,0,0,,,1271.0,20.927156,93835,57,3,0,5
ue_task_0079,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0079_claude-code_20260702_230051,0,,0,0,0,,,924.4,17.302472000000012,59358,77,1,0,2
ue_task_0080,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0080_claude-code_20260702_233322,1,1,1,7,7,7,7,1834.0,29.228038000000005,137322,80,3,0,5
ue_task_0081,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0081_claude-code_20260702_175825,0,,0,0,0,,,1131.7,23.409200000000002,72440,64,5,0,3
ue_task_0082,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0082_claude-code_20260702_183007,0,1,1,2,3,9,9,1807.5,19.745279,137290,69,6,4,2
ue_task_0083,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0083_claude-code_20260702_102200,1,1,1,3,3,9,9,1203.3,,,,,,2
ue_task_0085,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0085_claude-code_20260702_112713,1,1,1,3,3,9,9,1448.2,24.518813,99843,108,6,8,6
ue_task_0086,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0086_claude-code_20260702_185404,0,1,1,2,3,9,9,1338.3,23.55427,94851,93,4,4,5
ue_task_0087,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0087_claude-code_20260702_191750,0,1,1,1,3,8,8,1330.3,23.197242000000003,95136,90,10,2,6
ue_task_0088,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0088_claude-code_20260702_183636,1,1,1,1,1,9,9,782.8,10.959121000000001,58678,54,3,0,1
ue_task_0089,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0089_claude-code_20260702_184945,1,1,1,1,1,9,9,665.6,16.185582,49318,2,3,0,1
ue_task_0090,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0090_claude-code_20260702_191446,1,1,1,1,1,8,8,1416.9,18.695368000000002,101799,99,4,0,6
ue_task_0091,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0091_claude-code_20260702_082535,1,1,1,1,1,8,8,1229.6,14.102962,77984,71,6,0,7
ue_task_0092,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0092_claude-code_20260702_084220,1,1,1,1,1,9,9,860.9,9.78496,57462,59,3,0,4
ue_task_0093,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0093_claude-code_20260702_091114,1,0,1,1,1,4,8,1635.3,22.096672999999996,115437,74,5,0,1
ue_task_0094,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0094_claude-code_20260702_093222,1,1,1,1,1,9,9,1157.3,15.440773000000005,84418,63,3,0,1
ue_task_0095,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0095_claude-code_20260702_095710,1,1,1,1,1,8,8,1391.3,20.869195,95945,83,3,0,3
ue_task_0096,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0096_claude-code_20260702_100848,1,1,1,1,1,8,8,604.3,9.258258,29964,64,4,8,2
ue_task_0097,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0097_claude-code_20260702_102850,1,0,1,1,1,6,9,1122.9,13.436429,77177,82,0,0,3
ue_task_0098,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0098_claude-code_20260702_105909,1,0,1,1,1,4,7,1661.5,11.747196999999995,59556,79,2,0,3
ue_task_0099,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0099_claude-code_20260702_112528,1,0,1,1,1,6,8,1461.1,19.005390999999996,99910,110,7,0,9
ue_task_0100,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0100_claude-code_20260702_114228,1,1,1,1,1,11,11,854.2,12.9274,59119,88,0,0,7
ue_task_0101,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0101_claude-code_20260702_094207,0,0,1,0,1,6,8,1673.5,20.312420000000007,105371,105,6,1,8
ue_task_0102,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0102_claude-code_20260702_133449,1,0,1,1,1,7,8,1920.9,22.403131999999996,133852,103,5,1,6
ue_task_0103,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0103_claude-code_20260702_135920,1,1,1,2,2,10,10,1301.5,12.224223999999998,87657,69,2,0,8
ue_task_0104,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0104_claude-code_20260702_141658,1,1,1,1,1,8,8,957.6,16.110035999999997,53517,93,3,0,4
ue_task_0105,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0105_claude-code_20260702_143954,1,1,1,1,1,10,10,1297.2,15.961441999999998,88591,85,8,0,6
ue_task_0106,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0106_claude-code_20260702_150146,1,0,1,1,1,3,9,1215.3,19.363735,72006,99,9,0,7
ue_task_0107,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0107_claude-code_20260702_154144,1,0,1,1,1,6,8,2261.3,36.590981,155186,122,7,2,4
ue_task_0108,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0108_claude-code_20260702_183000,1,1,1,1,1,8,8,1301.9,14.158383999999998,77227,89,3,0,4
ue_task_0109,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0109_claude-code_20260702_184400,1,1,1,10,10,12,12,708.2,8.222156,54788,42,3,0,1
ue_task_0110,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0110_claude-code_20260702_191021,0,0,1,15,16,14,14,1404.3,16.008388999999998,111848,53,4,0,3
ue_task_0111,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0111_claude-code_20260702_220404,1,1,1,1,1,8,8,416.2,7.872422999999999,25335,41,3,0,1
ue_task_0112,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0112_claude-code_20260702_221430,1,1,1,1,1,8,8,534.6,8.156777000000002,36946,33,3,0,1
ue_task_0113,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0113_claude-code_20260702_222233,1,0,1,1,1,6,8,389.6,4.7840229999999995,24689,18,3,0,1
ue_task_0114,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0114_claude-code_20260702_131646,1,0,1,1,1,7,8,850.6,8.271078,69422,32,3,0,2
ue_task_0115,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0115_claude-code_20260702_133624,1,0,1,1,1,5,7,1031.8,10.074686,76278,42,4,0,1
ue_task_0116,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0116_claude-code_20260702_135223,1,0,1,1,1,3,5,863.1,7.924314000000001,69729,31,3,0,2
ue_task_0117,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0117_claude-code_20260702_142358,1,1,1,1,1,5,5,1781.2,16.810593,142662,48,4,0,2
ue_task_0118,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0118_claude-code_20260702_145638,0,0,1,0,1,7,8,1867.4,30.184737,135947,90,4,1,1
ue_task_0119,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0119_claude-code_20260702_151251,0,1,1,0,1,7,7,812.2,11.060996,55529,54,1,0,3
ue_task_0120,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0120_claude-code_20260702_183720,0,0,1,0,1,7,9,1806.5,24.148575000000005,138534,72,3,0,8
ue_task_0001,GPT-5.5 (xhigh),codex,gpt-5.5,xhigh,ue_task_0001_codex_20260624_033715,0,0,1,3,7,2,7,697.4,8.82988,25757,73,7,12,8
ue_task_0002,GPT-5.5 (xhigh),codex,gpt-5.5,xhigh,ue_task_0002_codex_20260624_035538,0,0,1,9,11,10,12,832.5,15.552764,46239,114,4,21,10
ue_task_0003,GPT-5.5 (xhigh),codex,gpt-5.5,xhigh,ue_task_0003_codex_20260624_041537,0,0,1,4,5,,,838.8,16.622765,46827,108,11,2,7
ue_task_0004,GPT-5.5 (xhigh),codex,gpt-5.5,xhigh,ue_task_0004_codex_20260624_043108,0,0,1,0,1,,,592.8,10.795882,24497,93,5,0,9
ue_task_0005,GPT-5.5 (xhigh),codex,gpt-5.5,xhigh,ue_task_0005_codex_20260624_044724,1,1,1,4,4,5,5,656.2,8.055292,26240,79,6,0,9
ue_task_0006,GPT-5.5 (xhigh),codex,gpt-5.5,xhigh,ue_task_0006_codex_20260624_050720,0,0,1,4,5,,,891.9,10.209541,26630,76,7,0,7
ue_task_0007,GPT-5.5 (xhigh),codex,gpt-5.5,xhigh,ue_task_0007_codex_20260624_052251,1,0,1,1,1,,,613.2,8.718011,24127,87,5,0,3
ue_task_0008,GPT-5.5 (xhigh),codex,gpt-5.5,xhigh,ue_task_0008_codex_20260624_080826,0,0,1,18,22,,,927.4,16.365914,53167,121,2,0,8
ue_task_0009,GPT-5.5 (xhigh),codex,gpt-5.5,xhigh,ue_task_0009_codex_20260624_083130,0,0,1,2,5,7,8,375.4,4.336545,16227,47,2,0,1
ue_task_0010,GPT-5.5 (xhigh),codex,gpt-5.5,xhigh,ue_task_0010_codex_20260624_084733,0,1,1,2,3,6,6,224.9,2.002754,6413,26,1,0,1
ue_task_0011,GPT-5.5 (xhigh),codex,gpt-5.5,xhigh,ue_task_0011_codex_20260628_110442,0,0,1,4,6,0,1,680.2,2.9117,15043,46,4,2,1
ue_task_0012,GPT-5.5 (xhigh),codex,gpt-5.5,xhigh,ue_task_0012_codex_20260624_092432,0,0,1,8,10,16,18,582.0,10.118979,36116,108,1,0,5
ue_task_0013,GPT-5.5 (xhigh),codex,gpt-5.5,xhigh,ue_task_0013_codex_20260624_094445,0,0,1,1,2,,,547.2,6.170235,26097,58,3,4,1
ue_task_0014,GPT-5.5 (xhigh),codex,gpt-5.5,xhigh,ue_task_0014_codex_20260628_111901,0,0,1,1,2,,,619.6,7.1719175,22375,95,5,0,2
ue_task_0015,GPT-5.5 (xhigh),codex,gpt-5.5,xhigh,ue_task_0015_codex_20260624_102332,0,1,1,1,2,,,772.0,5.621419,18225,69,3,0,8
ue_task_0017,GPT-5.5 (xhigh),codex,gpt-5.5,xhigh,ue_task_0017_codex_20260624_110311,0,0,1,1,2,6,8,651.6,7.743859,25298,65,1,0,2
ue_task_0018,GPT-5.5 (xhigh),codex,gpt-5.5,xhigh,ue_task_0018_codex_20260624_112300,1,1,1,2,2,9,9,579.5,5.018834,16383,45,4,6,2
ue_task_0019,GPT-5.5 (xhigh),codex,gpt-5.5,xhigh,ue_task_0019_codex_20260624_114950,0,0,1,1,3,3,7,1237.1,13.944995,31277,78,8,4,2
ue_task_0020,GPT-5.5 (xhigh),codex,gpt-5.5,xhigh,ue_task_0020_codex_20260624_121637,0,0,1,10,12,,,1023.5,16.906743,49525,91,3,2,2
ue_task_0021,GPT-5.5 (xhigh),codex,gpt-5.5,xhigh,ue_task_0021_codex_20260624_124350,0,0,1,3,8,6,9,995.9,11.132931,36353,86,1,1,1
ue_task_0022,GPT-5.5 (xhigh),codex,gpt-5.5,xhigh,ue_task_0022_codex_20260624_131207,0,0,1,4,8,11,14,1007.9,14.059929,52081,72,8,4,2
ue_task_0023,GPT-5.5 (xhigh),codex,gpt-5.5,xhigh,ue_task_0023_codex_20260628_113849,1,1,1,2,2,,,796.1,3.787845,32668,55,1,1,6
ue_task_0024,GPT-5.5 (xhigh),codex,gpt-5.5,xhigh,ue_task_0024_codex_20260628_120044,1,0,1,3,3,,,966.7,3.3672599999999995,18200,53,4,0,1
ue_task_0025,GPT-5.5 (xhigh),codex,gpt-5.5,xhigh,ue_task_0025_codex_20260628_121427,0,0,1,0,3,,,582.6,7.3494600000000005,20643,74,3,0,2
ue_task_0026,GPT-5.5 (xhigh),codex,gpt-5.5,xhigh,ue_task_0026_codex_20260628_123618,0,0,1,0,3,,,936.3,15.434354999999998,35765,109,7,0,5
ue_task_0027,GPT-5.5 (xhigh),codex,gpt-5.5,xhigh,ue_task_0027_codex_20260628_125732,0,0,1,0,3,,,857.3,8.4532725,31516,62,4,2,8
ue_task_0028,GPT-5.5 (xhigh),codex,gpt-5.5,xhigh,ue_task_0028_codex_20260628_131448,0,0,1,0,1,5,7,646.1,4.019405,21661,74,9,0,2
ue_task_0029,GPT-5.5 (xhigh),codex,gpt-5.5,xhigh,ue_task_0029_codex_20260628_133947,0,0,1,0,1,5,6,1145.5,9.0546175,25388,75,4,0,2
ue_task_0030,GPT-5.5 (xhigh),codex,gpt-5.5,xhigh,ue_task_0030_codex_20260628_135803,0,0,1,0,1,,,802.0,12.758037499999999,31186,93,5,3,3
ue_task_0031,GPT-5.5 (xhigh),codex,gpt-5.5,xhigh,ue_task_0031_codex_20260628_141323,1,1,1,1,1,1,1,536.0,6.2588574999999995,16850,61,3,2,3
ue_task_0034,GPT-5.5 (xhigh),codex,gpt-5.5,xhigh,ue_task_0034_codex_20260624_142724,0,0,1,1,9,4,7,812.4,11.04978,35961,99,1,0,1
ue_task_0035,GPT-5.5 (xhigh),codex,gpt-5.5,xhigh,ue_task_0035_codex_20260624_145211,0,0,1,4,9,,,665.2,12.056681,39123,85,4,1,1
ue_task_0036,GPT-5.5 (xhigh),codex,gpt-5.5,xhigh,ue_task_0036_codex_20260624_151220,0,0,1,7,9,4,6,585.8,10.554349,31728,95,4,2,1
ue_task_0037,GPT-5.5 (xhigh),codex,gpt-5.5,xhigh,ue_task_0037_codex_20260624_153242,0,0,1,6,8,10,12,588.3,12.236084,37090,94,4,9,1
ue_task_0038,GPT-5.5 (xhigh),codex,gpt-5.5,xhigh,ue_task_0038_codex_20260624_155207,0,1,1,5,11,9,9,843.8,10.035626,30073,115,6,2,1
ue_task_0039,GPT-5.5 (xhigh),codex,gpt-5.5,xhigh,ue_task_0039_codex_20260624_161752,0,0,1,5,9,7,10,716.4,12.423275,40430,97,3,0,1
ue_task_0042,GPT-5.5 (xhigh),codex,gpt-5.5,xhigh,ue_task_0042_codex_20260624_172019,0,0,1,9,11,4,5,566.3,7.791787,27280,65,2,1,1
ue_task_0043,GPT-5.5 (xhigh),codex,gpt-5.5,xhigh,ue_task_0043_codex_20260624_174303,0,0,1,9,14,5,8,514.0,11.081283,28632,86,1,0,1
ue_task_0045,GPT-5.5 (xhigh),codex,gpt-5.5,xhigh,ue_task_0045_codex_20260624_185509,0,0,1,4,5,4,6,1165.2,14.223385,48975,88,4,10,1
ue_task_0046,GPT-5.5 (xhigh),codex,gpt-5.5,xhigh,ue_task_0046_codex_20260624_193342,0,0,1,0,1,,,1446.2,12.492894,39087,121,2,21,1
ue_task_0047,GPT-5.5 (xhigh),codex,gpt-5.5,xhigh,ue_task_0047_codex_20260624_200741,1,1,1,2,2,,,1249.8,11.78075,49608,49,3,0,1
ue_task_0048,GPT-5.5 (xhigh),codex,gpt-5.5,xhigh,ue_task_0048_codex_20260624_204150,0,0,1,0,2,5,6,1305.6,14.85759,53226,84,4,16,1
